eid,mid,event_name,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time,f1fights,f1w,f1l,f1fws,f1ls,f2fights,f2w,f2l,f2fws,f2ls,f1SubW,f1KOW,f1DecW,f1SubL,f1KOL,f1DecL,f2SubW,f2KOW,f2DecW,f2SubL,f2KOL,f2DecL
18,2,UFC 11 - The Proving Ground,9/20/96,Dave Berry,Roberto Traven,loss,win,143,142,Submission,1,1:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,UFC 11 - The Proving Ground,9/20/96,Sam Fulton,Scott Ferrozzo,loss,win,141,128,Submission,1,0:00,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
19,7,UFC - Ultimate Ultimate 1996,12/7/96,Ken Shamrock,Brian Johnston,win,loss,4,137,Submission,1,5:48,9,5,2,0,1,4,2,2,1,0,5,0,0,1,0,1,1,1,0,2,0,0
19,6,UFC - Ultimate Ultimate 1996,12/7/96,Kimo Leopoldo,Paul Varelans,win,loss,43,112,TKO,1,9:08,2,0,2,0,2,6,4,2,3,0,0,0,0,2,0,0,2,1,1,0,2,0
19,5,UFC - Ultimate Ultimate 1996,12/7/96,David Abbott,Cal Worsham,win,loss,110,113,Submission,1,2:51,5,3,2,1,0,2,1,1,1,0,1,2,0,1,0,1,0,1,0,0,1,0
19,4,UFC - Ultimate Ultimate 1996,12/7/96,Gary Goodridge,Don Frye,loss,win,129,124,Submission,1,11:19,6,3,3,1,0,7,6,1,2,0,0,3,0,2,1,0,2,4,0,0,1,0
19,3,UFC - Ultimate Ultimate 1996,12/7/96,Jack Nilson,Tai Bowden,loss,win,161,6950,Submission,1,4:46,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
19,2,UFC - Ultimate Ultimate 1996,12/7/96,Steve Nelmark,Marcus Bossett,win,loss,147,54,Submission,1,1:37,1,1,0,1,0,2,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0
19,1,UFC - Ultimate Ultimate 1996,12/7/96,Mark Hall,Felix Mitchell,win,loss,118,45,TKO,1,1:45,4,2,2,0,1,2,0,2,0,2,1,1,0,1,1,0,0,0,0,1,0,1
19,10,UFC - Ultimate Ultimate 1996,12/7/96,Don Frye,David Abbott,win,loss,124,110,Submission,1,1:22,8,7,1,3,0,6,4,2,2,0,3,4,0,0,1,0,2,2,0,1,0,1
